Country,Year,Net migration,"International migrant stock, total",International migrant stock (% of population)
Eritrea,2010-01-01,-13369.0,15676.0,0.334267017850319
Eritrea,2009-01-01,-24355.0,,
Eritrea,2008-01-01,17859.0,,
Eritrea,2007-01-01,-18156.0,,
Eritrea,2006-01-01,-50036.0,,
Eritrea,2005-01-01,-12841.0,14314.0,0.341519151818552
Eritrea,2004-01-01,-6376.0,,
Eritrea,2003-01-01,76703.0,,
Eritrea,2002-01-01,-6571.0,,
Eritrea,2001-01-01,41755.0,,
Eritrea,2000-01-01,-33196.0,12952.0,0.366377042484122
Eritrea,1999-01-01,-3770.0,,
Eritrea,1998-01-01,-32003.0,,
Eritrea,1997-01-01,-30772.0,,
Eritrea,1996-01-01,-52425.0,,
Eritrea,1995-01-01,136103.0,12400.0,0.391897209154592
Eritrea,1994-01-01,-25840.0,,
Eritrea,1993-01-01,33686.0,,
Eritrea,1992-01-01,-22331.0,,
Eritrea,1991-01-01,-328546.0,,
Eritrea,1990-01-01,-12442.0,11848.0,0.37743506622794
Eritrea,1989-01-01,-7336.0,,
Eritrea,1988-01-01,-3608.0,,
Eritrea,1987-01-01,-3609.0,,
Eritrea,1986-01-01,-1086.0,,
Eritrea,1985-01-01,-1086.0,11040.0,
Eritrea,1984-01-01,785.0,,
Eritrea,1983-01-01,1854.0,,
Eritrea,1982-01-01,1995.0,,
Eritrea,1981-01-01,1995.0,,
Eritrea,1980-01-01,1995.0,10323.0,
Eritrea,1979-01-01,1995.0,,
Eritrea,1978-01-01,1995.0,,
Eritrea,1977-01-01,1995.0,,
Eritrea,1976-01-01,1995.0,,
Eritrea,1975-01-01,1995.0,9585.0,
Eritrea,1974-01-01,1995.0,,
Eritrea,1973-01-01,1995.0,,
Eritrea,1972-01-01,1964.0,,
Eritrea,1971-01-01,1770.0,,
Eritrea,1970-01-01,1487.0,8896.0,
Eritrea,1969-01-01,1208.0,,
Eritrea,1968-01-01,1017.0,,
Eritrea,1967-01-01,1007.0,,
Eritrea,1966-01-01,1073.0,,
Eritrea,1965-01-01,1194.0,8266.0,
Eritrea,1964-01-01,1308.0,,
Eritrea,1963-01-01,1376.0,,
Eritrea,1962-01-01,1371.0,,
Eritrea,1961-01-01,1247.0,,
Eritrea,1960-01-01,1059.0,7703.0,
Ethiopia,2022-01-01,,,
Ethiopia,2021-01-01,-1391.0,,
Ethiopia,2020-01-01,38867.0,,
Ethiopia,2019-01-01,-10803.0,,
Ethiopia,2018-01-01,9309.0,,
Ethiopia,2017-01-01,71769.0,,
Ethiopia,2016-01-01,115812.0,,
Ethiopia,2015-01-01,62784.0,1072949.0,1.07952601222951
Ethiopia,2014-01-01,103119.0,,
Ethiopia,2013-01-01,80953.0,,
Ethiopia,2012-01-01,119512.0,,
Ethiopia,2011-01-01,116793.0,,
Ethiopia,2010-01-01,80213.0,567720.0,0.648364822592643
Ethiopia,2009-01-01,16319.0,,
Ethiopia,2008-01-01,-20776.0,,
Ethiopia,2007-01-01,-389.0,,
Ethiopia,2006-01-01,-30511.0,,
Ethiopia,2005-01-01,-44423.0,514242.0,0.671260321204072
Ethiopia,2004-01-01,-25428.0,,
Ethiopia,2003-01-01,-13744.0,,
Ethiopia,2002-01-01,-12921.0,,
Ethiopia,2001-01-01,-19067.0,,
Ethiopia,2000-01-01,-49892.0,611384.0,0.920154796542265
Ethiopia,1999-01-01,29118.0,,
Ethiopia,1998-01-01,-3002.0,,
Ethiopia,1997-01-01,-9120.0,,
Ethiopia,1996-01-01,41345.0,,
Ethiopia,1995-01-01,91538.0,806904.0,1.40975385494748
Ethiopia,1994-01-01,140715.0,,
Ethiopia,1993-01-01,141549.0,,
Ethiopia,1992-01-01,160103.0,,
Ethiopia,1991-01-01,859739.0,,
Ethiopia,1990-01-01,296018.0,1155390.0,2.40420280094339
Ethiopia,1989-01-01,242615.0,,
Ethiopia,1988-01-01,379966.0,,
Ethiopia,1987-01-01,251387.0,,
Ethiopia,1986-01-01,186232.0,,
Ethiopia,1985-01-01,157474.0,583658.0,
Ethiopia,1984-01-01,137638.0,,
Ethiopia,1983-01-01,68018.0,,
Ethiopia,1982-01-01,66700.0,,
Ethiopia,1981-01-01,628135.0,,
Ethiopia,1980-01-01,-903529.0,404192.0,
Ethiopia,1979-01-01,-711455.0,,
Ethiopia,1978-01-01,-210991.0,,
Ethiopia,1977-01-01,-527133.0,,
Ethiopia,1976-01-01,-36153.0,,
Ethiopia,1975-01-01,-42567.0,392082.0,
Ethiopia,1974-01-01,-4219.0,,
Ethiopia,1973-01-01,355.0,,
Ethiopia,1972-01-01,-3379.0,,
Ethiopia,1971-01-01,-14508.0,,
Ethiopia,1970-01-01,8595.0,394582.0,
Ethiopia,1969-01-01,7265.0,,
Ethiopia,1968-01-01,9992.0,,
Ethiopia,1967-01-01,14434.0,,
Ethiopia,1966-01-01,9162.0,,
Ethiopia,1965-01-01,16349.0,383551.0,
Ethiopia,1964-01-01,10745.0,,
Ethiopia,1963-01-01,9418.0,,
Ethiopia,1962-01-01,8965.0,,
Ethiopia,1961-01-01,6940.0,,
Ethiopia,1960-01-01,1698.0,393260.0,
Kenya,2022-01-01,,,
Kenya,2021-01-01,-52549.0,,
Kenya,2020-01-01,-17106.0,,
Kenya,2019-01-01,-61946.0,,
Kenya,2018-01-01,-115434.0,,
Kenya,2017-01-01,-68704.0,,
Kenya,2016-01-01,-29727.0,,
Kenya,2015-01-01,-95981.0,1084357.0,2.35472288542212
Kenya,2014-01-01,-72415.0,,
Kenya,2013-01-01,-57630.0,,
Kenya,2012-01-01,-42929.0,,
Kenya,2011-01-01,-44800.0,,
Kenya,2010-01-01,-21076.0,926959.0,2.29853155523763
Kenya,2009-01-01,7098.0,,
Kenya,2008-01-01,29607.0,,
Kenya,2007-01-01,-11496.0,,
Kenya,2006-01-01,15763.0,,
Kenya,2005-01-01,5496.0,756894.0,2.1412010057416
Kenya,2004-01-01,31530.0,,
Kenya,2003-01-01,24180.0,,
Kenya,2002-01-01,10426.0,,
Kenya,2001-01-01,55052.0,,
Kenya,2000-01-01,5407.0,699139.0,2.2505087585005
Kenya,1999-01-01,-13257.0,,
Kenya,1998-01-01,-70048.0,,
Kenya,1997-01-01,-80488.0,,
Kenya,1996-01-01,-79310.0,,
Kenya,1995-01-01,-75544.0,618745.0,2.26041796242178
Kenya,1994-01-01,-40371.0,,
Kenya,1993-01-01,-61086.0,,
Kenya,1992-01-01,-43097.0,,
Kenya,1991-01-01,-60109.0,,
Kenya,1990-01-01,-11341.0,297292.0,1.26797362595068
Kenya,1989-01-01,-24955.0,,
Kenya,1988-01-01,-31904.0,,
Kenya,1987-01-01,-48647.0,,
Kenya,1986-01-01,-53217.0,,
Kenya,1985-01-01,-35416.0,151664.0,
Kenya,1984-01-01,-33268.0,,
Kenya,1983-01-01,-23911.0,,
Kenya,1982-01-01,-43402.0,,
Kenya,1981-01-01,-52794.0,,
Kenya,1980-01-01,-39943.0,159892.0,
Kenya,1979-01-01,-56314.0,,
Kenya,1978-01-01,-60759.0,,
Kenya,1977-01-01,-57530.0,,
Kenya,1976-01-01,-91037.0,,
Kenya,1975-01-01,-71454.0,160512.0,
Kenya,1974-01-01,-62991.0,,
Kenya,1973-01-01,-52115.0,,
Kenya,1972-01-01,-48467.0,,
Kenya,1971-01-01,-49671.0,,
Kenya,1970-01-01,-13059.0,159044.0,
Kenya,1969-01-01,374.0,,
Kenya,1968-01-01,1621.0,,
Kenya,1967-01-01,5059.0,,
Kenya,1966-01-01,1625.0,,
Kenya,1965-01-01,8524.0,101581.0,
Kenya,1964-01-01,4784.0,,
Kenya,1963-01-01,4239.0,,
Kenya,1962-01-01,4512.0,,
Kenya,1961-01-01,4289.0,,
Kenya,1960-01-01,2140.0,59330.0,
Rwanda,2022-01-01,,,
Rwanda,2021-01-01,-6112.0,,
Rwanda,2020-01-01,-1579.0,,
Rwanda,2019-01-01,-11823.0,,
Rwanda,2018-01-01,-10794.0,,
Rwanda,2017-01-01,-5169.0,,
Rwanda,2016-01-01,-2605.0,,
Rwanda,2015-01-01,-14477.0,441525.0,3.80308098441419
Rwanda,2014-01-01,-15027.0,,
Rwanda,2013-01-01,-15833.0,,
Rwanda,2012-01-01,-14824.0,,
Rwanda,2011-01-01,-5358.0,,
Rwanda,2010-01-01,-8394.0,436787.0,4.24325864762117
Rwanda,2009-01-01,-15121.0,,
Rwanda,2008-01-01,-16880.0,,
Rwanda,2007-01-01,-17724.0,,
Rwanda,2006-01-01,-20195.0,,
Rwanda,2005-01-01,-23051.0,432797.0,4.80446214184141
Rwanda,2004-01-01,-18936.0,,
Rwanda,2003-01-01,-17399.0,,
Rwanda,2002-01-01,-47989.0,,
Rwanda,2001-01-01,-91955.0,,
Rwanda,2000-01-01,-99860.0,347076.0,4.32661940007791
Rwanda,1999-01-01,-97819.0,,
Rwanda,1998-01-01,-84051.0,,
Rwanda,1997-01-01,239690.0,,
Rwanda,1996-01-01,1372202.0,,
Rwanda,1995-01-01,443316.0,233200.0,3.94401594518968
Rwanda,1994-01-01,-2162873.0,,
Rwanda,1993-01-01,126168.0,,
Rwanda,1992-01-01,3454.0,,
Rwanda,1991-01-01,-48085.0,,
Rwanda,1990-01-01,-31720.0,159869.0,2.20213120580076
Rwanda,1989-01-01,-46816.0,,
Rwanda,1988-01-01,-26673.0,,
Rwanda,1987-01-01,10619.0,,
Rwanda,1986-01-01,17982.0,,
Rwanda,1985-01-01,4017.0,81111.0,
Rwanda,1984-01-01,-18739.0,,
Rwanda,1983-01-01,-14660.0,,
Rwanda,1982-01-01,12606.0,,
Rwanda,1981-01-01,14235.0,,
Rwanda,1980-01-01,4634.0,53094.0,
Rwanda,1979-01-01,-3474.0,,
Rwanda,1978-01-01,-13849.0,,
Rwanda,1977-01-01,-11093.0,,
Rwanda,1976-01-01,-7034.0,,
Rwanda,1975-01-01,-4792.0,46732.0,
Rwanda,1974-01-01,-4531.0,,
Rwanda,1973-01-01,-3860.0,,
Rwanda,1972-01-01,-4148.0,,
Rwanda,1971-01-01,-4213.0,,
Rwanda,1970-01-01,1156.0,35759.0,
Rwanda,1969-01-01,2984.0,,
Rwanda,1968-01-01,4722.0,,
Rwanda,1967-01-01,4652.0,,
Rwanda,1966-01-01,-1943.0,,
Rwanda,1965-01-01,-9788.0,33441.0,
Rwanda,1964-01-01,-19490.0,,
Rwanda,1963-01-01,-25565.0,,
Rwanda,1962-01-01,-25631.0,,
Rwanda,1961-01-01,-20540.0,,
Rwanda,1960-01-01,-13204.0,28531.0,
Sudan,2022-01-01,,,
Sudan,2021-01-01,-15223.0,,
Sudan,2020-01-01,86.0,,
Sudan,2019-01-01,-29450.0,,
Sudan,2018-01-01,74198.0,,
Sudan,2017-01-01,189497.0,,
Sudan,2016-01-01,97646.0,,
Sudan,2015-01-01,49080.0,503477.0,1.2513445422805
Sudan,2014-01-01,85052.0,,
Sudan,2013-01-01,-185339.0,,
Sudan,2012-01-01,-221502.0,,
Sudan,2011-01-01,-337194.0,,
Sudan,2010-01-01,-331713.0,578363.0,1.25264449650173
Sudan,2009-01-01,-79473.0,,
Sudan,2008-01-01,-72121.0,,
Sudan,2007-01-01,-13752.0,,
Sudan,2006-01-01,-12376.0,,
Sudan,2005-01-01,-10644.0,541994.0,
Sudan,2004-01-01,-86754.0,,
Sudan,2003-01-01,-149595.0,,
Sudan,2002-01-01,-159912.0,,
Sudan,2001-01-01,-136249.0,,
Sudan,2000-01-01,-80698.0,801883.0,
Sudan,1999-01-01,-58808.0,,
Sudan,1998-01-01,-48202.0,,
Sudan,1997-01-01,-47334.0,,
Sudan,1996-01-01,-56798.0,,
Sudan,1995-01-01,-71692.0,1053396.0,
Sudan,1994-01-01,-70382.0,,
Sudan,1993-01-01,-87480.0,,
Sudan,1992-01-01,-248714.0,,
Sudan,1991-01-01,-254515.0,,
Sudan,1990-01-01,-227157.0,1402896.0,
Sudan,1989-01-01,-224983.0,,
Sudan,1988-01-01,-219374.0,,
Sudan,1987-01-01,-223978.0,,
Sudan,1986-01-01,-224853.0,,
Sudan,1985-01-01,-207483.0,1407776.0,
Sudan,1984-01-01,-188903.0,,
Sudan,1983-01-01,-54326.0,,
Sudan,1982-01-01,83392.0,,
Sudan,1981-01-01,147787.0,,
Sudan,1980-01-01,151287.0,718515.0,
Sudan,1979-01-01,140384.0,,
Sudan,1978-01-01,134773.0,,
Sudan,1977-01-01,129474.0,,
Sudan,1976-01-01,104615.0,,
Sudan,1975-01-01,105500.0,321780.0,
Sudan,1974-01-01,100318.0,,
Sudan,1973-01-01,5788.0,,
Sudan,1972-01-01,2243.0,,
Sudan,1971-01-01,-3573.0,,
Sudan,1970-01-01,4467.0,279972.0,
Sudan,1969-01-01,2487.0,,
Sudan,1968-01-01,2782.0,,
Sudan,1967-01-01,4501.0,,
Sudan,1966-01-01,2816.0,,
Sudan,1965-01-01,6367.0,236369.0,
Sudan,1964-01-01,4499.0,,
Sudan,1963-01-01,4260.0,,
Sudan,1962-01-01,4379.0,,
Sudan,1961-01-01,3901.0,,
Sudan,1960-01-01,2191.0,241992.0,
Somalia,2022-01-01,,,
Somalia,2021-01-01,-17071.0,,
Somalia,2020-01-01,-11383.0,,
Somalia,2019-01-01,48055.0,,
Somalia,2018-01-01,40844.0,,
Somalia,2017-01-01,38067.0,,
Somalia,2016-01-01,124017.0,,
Somalia,2015-01-01,-17178.0,25291.0,0.234455883618068
Somalia,2014-01-01,6065.0,,
Somalia,2013-01-01,20723.0,,
Somalia,2012-01-01,-51833.0,,
Somalia,2011-01-01,-326192.0,,
Somalia,2010-01-01,-88448.0,23995.0,0.25042492397498
Somalia,2009-01-01,-101795.0,,
Somalia,2008-01-01,-102035.0,,
Somalia,2007-01-01,8476.0,,
Somalia,2006-01-01,-67200.0,,
Somalia,2005-01-01,-5955.0,20670.0,0.244126034701093
Somalia,2004-01-01,17353.0,,
Somalia,2003-01-01,33174.0,,
Somalia,2002-01-01,12603.0,,
Somalia,2001-01-01,40274.0,,
Somalia,2000-01-01,53580.0,20087.0,0.271981970954649
Somalia,1999-01-01,37548.0,,
Somalia,1998-01-01,55426.0,,
Somalia,1997-01-01,49692.0,,
Somalia,1996-01-01,-46291.0,,
Somalia,1995-01-01,65888.0,19527.0,0.307684308053019
Somalia,1994-01-01,-50921.0,,
Somalia,1993-01-01,261815.0,,
Somalia,1992-01-01,-179675.0,,
Somalia,1991-01-01,-568166.0,,
Somalia,1990-01-01,-248155.0,478294.0,7.56600963519607
Somalia,1989-01-01,-266281.0,,
Somalia,1988-01-01,-415660.0,,
Somalia,1987-01-01,-17391.0,,
Somalia,1986-01-01,74424.0,,
Somalia,1985-01-01,62183.0,774569.0,
Somalia,1984-01-01,60630.0,,
Somalia,1983-01-01,9505.0,,
Somalia,1982-01-01,6115.0,,
Somalia,1981-01-01,-332129.0,,
Somalia,1980-01-01,65519.0,1605620.0,
Somalia,1979-01-01,582746.0,,
Somalia,1978-01-01,402005.0,,
Somalia,1977-01-01,2170.0,,
Somalia,1976-01-01,-3831.0,,
Somalia,1975-01-01,-1934.0,14048.0,
Somalia,1974-01-01,-495.0,,
Somalia,1973-01-01,143.0,,
Somalia,1972-01-01,-351.0,,
Somalia,1971-01-01,-1850.0,,
Somalia,1970-01-01,1104.0,13041.0,
Somalia,1969-01-01,690.0,,
Somalia,1968-01-01,906.0,,
Somalia,1967-01-01,1498.0,,
Somalia,1966-01-01,941.0,,
Somalia,1965-01-01,2142.0,12136.0,
Somalia,1964-01-01,1518.0,,
Somalia,1963-01-01,1449.0,,
Somalia,1962-01-01,1496.0,,
Somalia,1961-01-01,1336.0,,
Somalia,1960-01-01,750.0,11356.0,
South Sudan,2022-01-01,,,
South Sudan,2021-01-01,-31885.0,,
South Sudan,2020-01-01,-74415.0,,
South Sudan,2019-01-01,2048.0,,
South Sudan,2018-01-01,-297041.0,,
South Sudan,2017-01-01,-672697.0,,
South Sudan,2016-01-01,-655870.0,,
South Sudan,2015-01-01,-160109.0,824122.0,6.67856203968099
South Sudan,2014-01-01,-471614.0,,
South Sudan,2013-01-01,65337.0,,
South Sudan,2012-01-01,125766.0,,
South Sudan,2011-01-01,194323.0,,
South Sudan,2010-01-01,299400.0,257905.0,2.56456661006963
South Sudan,2009-01-01,139129.0,,
South Sudan,2008-01-01,165553.0,,
South Sudan,2007-01-01,167356.0,,
South Sudan,2006-01-01,153929.0,,
South Sudan,2005-01-01,132868.0,,
South Sudan,2004-01-01,110187.0,,
South Sudan,2003-01-01,91958.0,,
South Sudan,2002-01-01,82850.0,,
South Sudan,2001-01-01,77854.0,,
South Sudan,2000-01-01,74224.0,,
South Sudan,1999-01-01,70269.0,,
South Sudan,1998-01-01,64284.0,,
South Sudan,1997-01-01,48277.0,,
South Sudan,1996-01-01,17951.0,,
South Sudan,1995-01-01,17077.0,,
South Sudan,1994-01-01,16418.0,,
South Sudan,1993-01-01,15772.0,,
South Sudan,1992-01-01,15074.0,,
South Sudan,1991-01-01,14325.0,,
South Sudan,1990-01-01,12993.0,,
South Sudan,1989-01-01,-130821.0,,
South Sudan,1988-01-01,-97065.0,,
South Sudan,1987-01-01,0.0,,
South Sudan,1986-01-01,0.0,,
South Sudan,1985-01-01,0.0,,
South Sudan,1984-01-01,0.0,,
South Sudan,1983-01-01,0.0,,
South Sudan,1982-01-01,0.0,,
South Sudan,1981-01-01,0.0,,
South Sudan,1980-01-01,0.0,,
South Sudan,1979-01-01,0.0,,
South Sudan,1978-01-01,0.0,,
South Sudan,1977-01-01,0.0,,
South Sudan,1976-01-01,0.0,,
South Sudan,1975-01-01,0.0,,
South Sudan,1974-01-01,0.0,,
South Sudan,1973-01-01,0.0,,
South Sudan,1972-01-01,0.0,,
South Sudan,1971-01-01,0.0,,
South Sudan,1970-01-01,0.0,,
South Sudan,1969-01-01,0.0,,
South Sudan,1968-01-01,0.0,,
South Sudan,1967-01-01,0.0,,
South Sudan,1966-01-01,0.0,,
South Sudan,1965-01-01,0.0,,
South Sudan,1964-01-01,0.0,,
South Sudan,1963-01-01,0.0,,
South Sudan,1962-01-01,0.0,,
South Sudan,1961-01-01,0.0,,
South Sudan,1960-01-01,0.0,,
Tanzania,2022-01-01,,,
Tanzania,2021-01-01,-4865.0,,
Tanzania,2020-01-01,-15795.0,,
Tanzania,2019-01-01,-64819.0,,
Tanzania,2018-01-01,-56813.0,,
Tanzania,2017-01-01,101235.0,,
Tanzania,2016-01-01,124444.0,,
Tanzania,2015-01-01,201562.0,261222.0,0.488535530485828
Tanzania,2014-01-01,-21079.0,,
Tanzania,2013-01-01,1346.0,,
Tanzania,2012-01-01,-49713.0,,
Tanzania,2011-01-01,-84433.0,,
Tanzania,2010-01-01,-121993.0,308600.0,0.67603498689169
Tanzania,2009-01-01,-324470.0,,
Tanzania,2008-01-01,-184748.0,,
Tanzania,2007-01-01,-126739.0,,
Tanzania,2006-01-01,-128070.0,,
Tanzania,2005-01-01,-128147.0,770846.0,1.97320916612058
Tanzania,2004-01-01,-126446.0,,
Tanzania,2003-01-01,-127010.0,,
Tanzania,2002-01-01,-118044.0,,
Tanzania,2001-01-01,-124527.0,,
Tanzania,2000-01-01,-12539.0,928180.0,2.73061660251845
Tanzania,1999-01-01,-11552.0,,
Tanzania,1998-01-01,-119727.0,,
Tanzania,1997-01-01,-13340.0,,
Tanzania,1996-01-01,-472926.0,,
Tanzania,1995-01-01,-109903.0,1106043.0,3.69872865994284
Tanzania,1994-01-01,349345.0,,
Tanzania,1993-01-01,288072.0,,
Tanzania,1992-01-01,-95865.0,,
Tanzania,1991-01-01,-91874.0,,
Tanzania,1990-01-01,-88284.0,574025.0,2.25477378454917
Tanzania,1989-01-01,-76094.0,,
Tanzania,1988-01-01,-76750.0,,
Tanzania,1987-01-01,87941.0,,
Tanzania,1986-01-01,19500.0,,
Tanzania,1985-01-01,75784.0,547608.0,
Tanzania,1984-01-01,-39236.0,,
Tanzania,1983-01-01,45680.0,,
Tanzania,1982-01-01,-45146.0,,
Tanzania,1981-01-01,-46800.0,,
Tanzania,1980-01-01,-46294.0,557173.0,
Tanzania,1979-01-01,-4806.0,,
Tanzania,1978-01-01,27301.0,,
Tanzania,1977-01-01,49981.0,,
Tanzania,1976-01-01,54819.0,,
Tanzania,1975-01-01,53248.0,607887.0,
Tanzania,1974-01-01,51112.0,,
Tanzania,1973-01-01,48340.0,,
Tanzania,1972-01-01,57460.0,,
Tanzania,1971-01-01,41913.0,,
Tanzania,1970-01-01,38628.0,505143.0,
Tanzania,1969-01-01,35754.0,,
Tanzania,1968-01-01,33345.0,,
Tanzania,1967-01-01,4204.0,,
Tanzania,1966-01-01,3876.0,,
Tanzania,1965-01-01,3644.0,486241.0,
Tanzania,1964-01-01,7966.0,,
Tanzania,1963-01-01,3212.0,,
Tanzania,1962-01-01,2892.0,,
Tanzania,1961-01-01,7359.0,,
Tanzania,1960-01-01,1953.0,477027.0,
Uganda,2022-01-01,,,
Uganda,2021-01-01,43465.0,,
Uganda,2020-01-01,43465.0,,
Uganda,2019-01-01,107203.0,,
Uganda,2018-01-01,60723.0,,
Uganda,2017-01-01,92876.0,,
Uganda,2016-01-01,123381.0,,
Uganda,2015-01-01,-62377.0,749471.0,1.92012616805897
Uganda,2014-01-01,-92291.0,,
Uganda,2013-01-01,-176638.0,,
Uganda,2012-01-01,-175994.0,,
Uganda,2011-01-01,-173065.0,,
Uganda,2010-01-01,-168379.0,529160.0,1.59628750032014
Uganda,2009-01-01,-164609.0,,
Uganda,2008-01-01,-158848.0,,
Uganda,2007-01-01,-154826.0,,
Uganda,2006-01-01,-156293.0,,
Uganda,2005-01-01,-151432.0,652968.0,2.3285014738211
Uganda,2004-01-01,-138801.0,,
Uganda,2003-01-01,-96452.0,,
Uganda,2002-01-01,-35155.0,,
Uganda,2001-01-01,-95975.0,,
Uganda,2000-01-01,-52834.0,634703.0,2.67157473075183
